"decade","total_parcels","total_commas"
"1940 to 1949",514,"514"
"1950 to 1959",1262,"1,262"
"1960 to 1969",1414,"1,414"
"1970 to 1979",1604,"1,604"
"1980 to 1989",1684,"1,684"
"1990 to 1999",423,"423"
"2000 to 2009",293,"293"
"2010 to 2019",155,"155"
"2020 forward",23,"23"
